Sr. No.,Assigned To,Company Name,Website,Contact Person,Email ID,Website Verified,Scan Completed,Screenshot Taken,Status,Verified By,Remarks
"1","Unassigned","360 ONE Mutual Fund","https://mf.360.one","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: net::ERR_NAME_NOT_RESOLVED at https://mf.360.one/
Call log:
[2m  - navigating to ""https://mf.360.one/"", waiting until ""domcontentloaded""[22m
"
"2","Unassigned","ADITYA BIRLA SUN LIFE MF","https://mutualfund.adityabirlacapital.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Navigation to ""https://mutualfund.adityabirlacapital.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
[2m  - navigating to ""https://mutualfund.adityabirlacapital.com/"", waiting until ""domcontentloaded""[22m
"
"3","Unassigned","ASK Mutual Fund","https://www.askmf.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.askmf.com/
Call log:
[2m  - navigating to ""https://www.askmf.com/"", waiting until ""domcontentloaded""[22m
"
"4","Unassigned","AXIS MF","https://www.axismf.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Navigation to ""https://www.axismf.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
[2m  - navigating to ""https://www.axismf.com/"", waiting until ""domcontentloaded""[22m
"
"5","Unassigned","Abakkus Mutual Fund","https://www.abakkusamc.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.abakkusamc.com/
Call log:
[2m  - navigating to ""https://www.abakkusamc.com/"", waiting until ""domcontentloaded""[22m
"
"6","Unassigned","AlphaGrep Mutual Fund","","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
[2m  - navigating to ""https://"", waiting until ""domcontentloaded""[22m
"
"7","Unassigned","Angel One Mutual Fund","https://www.angelonemf.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Navigation to ""https://www.angelonemf.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
[2m  - navigating to ""https://www.angelonemf.com/"", waiting until ""domcontentloaded""[22m
"
"8","Unassigned","BAJAJ FINSERV MUTUAL FUND","https://www.bajajfinservamc.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bajajfinservamc.com/
Call log:
[2m  - navigating to ""https://www.bajajfinservamc.com/"", waiting until ""domcontentloaded""[22m
"
"9","Unassigned","Bandhan Mutual Fund","https://bandhanmutual.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Navigation to ""https://bandhanmutual.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
[2m  - navigating to ""https://bandhanmutual.com/"", waiting until ""domcontentloaded""[22m
"
"10","Unassigned","Bank of India Mutual Fund","https://www.boiaxamc.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.boiaxamc.com/
Call log:
[2m  - navigating to ""https://www.boiaxamc.com/"", waiting until ""domcontentloaded""[22m
"
"11","Unassigned","Baroda BNP Paribas Mutual Fund","https://www.barodabnpparibasmf.in","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Navigation to ""https://www.barodabnpparibasmf.in/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
[2m  - navigating to ""https://www.barodabnpparibasmf.in/"", waiting until ""domcontentloaded""[22m
"
"12","Unassigned","CANARA ROBECO MF","https://www.canararobeco.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Navigation to ""https://www.canararobeco.com/"" is interrupted by another navigation to ""https://www.barodabnpparibasmf.in/""
Call log:
[2m  - navigating to ""https://www.canararobeco.com/"", waiting until ""domcontentloaded""[22m
"
"13","Unassigned","CRB MF","","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
[2m  - navigating to ""https://"", waiting until ""domcontentloaded""[22m
"
"14","Unassigned","Capitalmind Mutual Fund","https://capitalmindmf.com","N/A","N/A","No","No","No","Inaccessible","Orchavate Automated Tool","Unreachable: page.goto: Navigation to ""https://capitalmindmf.com/"" is interrupted by another navigation to ""https://www.canararobeco.com/""
Call log:
[2m  - navigating to ""https://capitalmindmf.com/"", waiting until ""domcontentloaded""[22m
"
