SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
500002,ABB India Ltd,Active,A,2.0,INE117A01022,,ABB,Equity,https://www.bseindia.com/stock-share-price/abb-india-ltd/abb/500002/,ABB India Limited,163635.65
500003,Aegis Logistics Ltd,Active,A,1.0,INE208C01025,,AEGISLOG,Equity,https://www.bseindia.com/stock-share-price/aegis-logistics-ltd/aegislog/500003/,Aegis Logistics Ltd.,49076.82
500008,Amara Raja Energy & Mobility Ltd,Active,A,1.0,INE885A01032,,ARE&M,Equity,https://www.bseindia.com/stock-share-price/amara-raja-energy--mobility-ltd/arem/500008/,Amara Raja Energy & Mobility Limited,16952.72
500009,Ambalal Sarabhai Enterprises Ltd,Active,B,10.0,INE432A01017,,AMBALALSA,Equity,https://www.bseindia.com/stock-share-price/ambalal-sarabhai-enterprises-ltd/ambalalsa/500009/,Ambalal Sarabhai Enterprise Ltd.,336.65
500012,Andhra Petrochemicals Ltd,Active,X,10.0,INE714B01016,,ANDHRAPET,Equity,https://www.bseindia.com/stock-share-price/andhra-petrochemicals-ltd/andhrapet/500012/,Andhra Petrochemicals Ltd.,391.63
500013,Ansal Properties & Infrastructure Ltd,Active,Z,5.0,INE436A01026,,ANSALAPI,Equity,https://www.bseindia.com/stock-share-price/ansal-properties--infrastructure-ltd/ansalapi/500013/,Ansal Properties & Infrastructure Ltd.,55.56
500014,Utique Enterprises Ltd,Active,X,10.0,INE096A01010,,UTIQUE,Equity,https://www.bseindia.com/stock-share-price/utique-enterprises-ltd/utique/500014/,UTIQUE ENTERPRISES LIMITED,20.49
500016,Aruna Hotels Ltd,Active,X,10.0,INE957C01019,,ARUNAHTEL,Equity,https://www.bseindia.com/stock-share-price/aruna-hotels-ltd/arunahtel/500016/,Aruna Hotels Ltd.,24.98
500020,Bombay Dyeing & Manufacturing Company Ltd,Active,B,2.0,INE032A01023,,BOMDYEING,Equity,https://www.bseindia.com/stock-share-price/bombay-dyeing--manufacturing-company-ltd/bomdyeing/500020/,Bombay Dyeing & Mfg. Co. Ltd.,2486.68
500023,Asian Hotels (North) Ltd,Active,B,10.0,INE363A01022,,ASIANHOTNR,Equity,https://www.bseindia.com/stock-share-price/asian-hotels-(north)-ltd/asianhotnr/500023/,Asian Hotels (North) Limited,1349.34
