[2026-08-02T05:32:28.525Z] COMPANY: "SEBI Official" | QUERIES: ["SEBI Official" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1474ms | REASON: Resolved via self-search
[2026-08-02T05:32:28.622Z] COMPANY: "Example Corp" | QUERIES: ["Example Corp" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 96ms | REASON: Resolved via self-search
[2026-08-02T05:32:48.882Z] COMPANY: "VENTUREEAST TELNET INDIA FUND" | QUERIES: ["VENTUREEAST TELNET INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 160ms | REASON: Resolved via self-search
[2026-08-02T05:32:48.972Z] COMPANY: "GUJARAT INFORMATION TECHNOLOGY FUND" | QUERIES: ["GUJARAT INFORMATION TECHNOLOGY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 89ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.079Z] COMPANY: "Kerala Venture Capital Fund" | QUERIES: ["Kerala Venture Capital Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 107ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.179Z] COMPANY: "West Bengal VCF" | QUERIES: ["West Bengal VCF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 100ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.273Z] COMPANY: "ILABS VENTURE CAPITAL FUND" | QUERIES: ["ILABS VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 94ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.361Z] COMPANY: "Dunn Carr Management and Research India Private Limited" | QUERIES: ["Dunn Carr Management and Research India Private Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 87ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.449Z] COMPANY: "HIVE FUND" | QUERIES: ["HIVE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 87ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.533Z] COMPANY: "GUJARAT VENTURE CAPITAL FUND 1995" | QUERIES: ["GUJARAT VENTURE CAPITAL FUND 1995" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 83ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.623Z] COMPANY: "Marigold Mezzanine Investment Fund" | QUERIES: ["Marigold Mezzanine Investment Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 90ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.705Z] COMPANY: "Industrial Venture Capital Limited" | QUERIES: ["Industrial Venture Capital Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 81ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.788Z] COMPANY: "APIDC" | QUERIES: ["APIDC" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 83ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.874Z] COMPANY: "SICOM VENTURE CAPITAL FUND" | QUERIES: ["SICOM VENTURE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 85ms | REASON: Resolved via self-search
[2026-08-02T05:32:49.961Z] COMPANY: "PUNJAB INFOTECH VENTURE FUND" | QUERIES: ["PUNJAB INFOTECH VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 87ms | REASON: Resolved via self-search
[2026-08-02T05:32:50.053Z] COMPANY: "NATIONAL VENTURE FUND FOR SOFTWARE AND IT INDUSTRY" | QUERIES: ["NATIONAL VENTURE FUND FOR SOFTWARE AND IT INDUSTRY" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 92ms | REASON: Resolved via self-search
[2026-08-02T05:32:50.150Z] COMPANY: "Gujarat VCF - 1990" | QUERIES: ["Gujarat VCF - 1990" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 97ms | REASON: Resolved via self-search
[2026-08-02T05:32:50.746Z] COMPANY: "UTI - India Technology Venture unit scheme" | QUERIES: ["UTI - India Technology Venture unit scheme" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 596ms | REASON: Resolved via self-search
[2026-08-02T05:32:52.328Z] COMPANY: "KSK TRUST PRIVATE LIMITED" | QUERIES: ["KSK TRUST PRIVATE LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1581ms | REASON: Resolved via self-search
[2026-08-02T05:32:53.907Z] COMPANY: "Rajasthan Venture Capital Fund" | QUERIES: ["Rajasthan Venture Capital Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1579ms | REASON: Resolved via self-search
[2026-08-02T05:32:55.489Z] COMPANY: "SREI VENTURE CAPITAL LIMITED" | QUERIES: ["SREI VENTURE CAPITAL LIMITED" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1582ms | REASON: Resolved via self-search
[2026-08-02T05:32:57.062Z] COMPANY: "Emerging Sectors Trust" | QUERIES: ["Emerging Sectors Trust" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1572ms | REASON: Resolved via self-search
[2026-08-02T05:32:58.637Z] COMPANY: "OPULANT VENTURE CAPITAL TRUST" | QUERIES: ["OPULANT VENTURE CAPITAL TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1575ms | REASON: Resolved via self-search
[2026-08-02T05:33:00.222Z] COMPANY: "India Advantage Fund I" | QUERIES: ["India Advantage Fund I" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1585ms | REASON: Resolved via self-search
[2026-08-02T05:33:01.803Z] COMPANY: "THE TECHNOLOGY VENTURE FUND" | QUERIES: ["THE TECHNOLOGY VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1581ms | REASON: Resolved via self-search
[2026-08-02T05:33:01.803Z] COMPANY: "VENTUREEAST TELNET INDIA FUND" | QUERIES: ["VENTUREEAST TELNET INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via self-search
[2026-08-02T05:33:03.374Z] COMPANY: "FIRE CAPITAL FUND" | QUERIES: ["FIRE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1571ms | REASON: Resolved via self-search
[2026-08-02T05:33:04.958Z] COMPANY: "IL&FS PRIVATE EQUITY TRUST" | QUERIES: ["IL&FS PRIVATE EQUITY TRUST" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1584ms | REASON: Resolved via self-search
[2026-08-02T05:33:06.536Z] COMPANY: "SPICE CAPITAL FUND" | QUERIES: ["SPICE CAPITAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1578ms | REASON: Resolved via self-search
[2026-08-02T05:33:08.117Z] COMPANY: "HDFC Property Fund" | QUERIES: ["HDFC Property Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1581ms | REASON: Resolved via self-search
[2026-08-02T05:33:09.694Z] COMPANY: "EUREKA VENTURE FUND" | QUERIES: ["EUREKA VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-02T05:33:11.269Z] COMPANY: "KOTAK SEAF INDIA FUND" | QUERIES: ["KOTAK SEAF INDIA FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1575ms | REASON: Resolved via self-search
[2026-08-02T05:33:12.846Z] COMPANY: "GUJARAT BIOTECHNOLOGY VENTURE FUND" | QUERIES: ["GUJARAT BIOTECHNOLOGY VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1576ms | REASON: Resolved via self-search
[2026-08-02T05:33:14.427Z] COMPANY: "KSHITIJ VENTURE FUND" | QUERIES: ["KSHITIJ VENTURE FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1581ms | REASON: Resolved via self-search
[2026-08-02T05:33:16.106Z] COMPANY: "INDIA PROPERTY FUND" | QUERIES: ["INDIA PROPERTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1679ms | REASON: Resolved via self-search
[2026-08-02T05:33:17.768Z] COMPANY: "India Advantage Fund III" | QUERIES: ["India Advantage Fund III" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1662ms | REASON: Resolved via self-search
[2026-08-02T05:33:19.437Z] COMPANY: "IDFC INFRASTRUCTURE FUND 2" | QUERIES: ["IDFC INFRASTRUCTURE FUND 2" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1668ms | REASON: Resolved via self-search
[2026-08-02T05:33:21.021Z] COMPANY: "RELIANCE INDIA POWER FUND" | QUERIES: ["RELIANCE INDIA POWER FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1584ms | REASON: Resolved via self-search
[2026-08-02T05:33:22.615Z] COMPANY: "Solitaire Capital India" | QUERIES: ["Solitaire Capital India" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1593ms | REASON: Resolved via self-search
[2026-08-02T05:33:24.205Z] COMPANY: "ANAND RATHI REALTY FUND" | QUERIES: ["ANAND RATHI REALTY FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1590ms | REASON: Resolved via self-search
