Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"1","Unassigned","20 Microns Limited","https://www.20microns.com","readymade-fallback","HIGH","NO","N/A","enquiry@20microns.com","[Investor Grievance / Compliance Officer Email] enquiry@20microns.com; [General Contact Email] enquiry@20microns.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 22. Lighthouse A11y: 30/100."
"2","Unassigned","21st Century Management Services Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"3","Unassigned","360 ONE WAM LIMITED","https://www.360.one","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"4","Unassigned","3B Blackbio Dx Limited","https://www.3bblackbio.com","readymade-fallback","HIGH","NO","N/A","info@3bblackbio.com","[General Contact Email] info@3bblackbio.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"5","Unassigned","3i Infotech Limited","https://www.3i-infotech.com","readymade-fallback","HIGH","NO","N/A","marketing@3i-infotech.com","[Investor Grievance / Compliance Officer Email] investors@3i-infotech.com; [General Contact Email] marketing@3i-infotech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 18. Lighthouse A11y: 30/100."
"6","Unassigned","3M India Limited","https://www.3m.com/3M/en_IN","readymade-fallback","HIGH","NO","N/A","info@3m.com","[General Contact Email (Guessed Pattern)] info@3m.com; [Investor Grievance Email (Guessed Pattern)] contact@3m.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"7","Unassigned","3P Land Holdings Limited","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"8","Unassigned","5Paisa Capital Limited","https://www.5paisa.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"9","Unassigned","63 moons technologies limited","https://www.63moons.com","readymade-fallback","HIGH","NO","N/A","info@63moons.com","[General Contact Email (Guessed Pattern)] info@63moons.com; [Investor Grievance Email (Guessed Pattern)] contact@63moons.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 8. Lighthouse A11y: 68/100."
"10","Unassigned","A2Z Infra Engineering Limited","https://www.a2zgroup.co.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
