[2026-08-02T08:13:22.707Z] COMPANY: "20 Microns Limited" | QUERIES: ["20 Microns Limited" official website] | CANDIDATES: [https://www.20microns.com] | SELECTED: "https://www.20microns.com" | CONFIDENCE: HIGH | TIME: 2ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:13:39.118Z] COMPANY: "21st Century Management Services Limited" | QUERIES: ["21st Century Management Services Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:13:39.120Z] COMPANY: "360 ONE WAM LIMITED" | QUERIES: ["360 ONE WAM LIMITED" official website] | CANDIDATES: [https://www.360.one] | SELECTED: "https://www.360.one" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:13:39.630Z] COMPANY: "3B Blackbio Dx Limited" | QUERIES: ["3B Blackbio Dx Limited" official website] | CANDIDATES: [https://www.3bblackbio.com] | SELECTED: "https://www.3bblackbio.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:13:52.078Z] COMPANY: "3i Infotech Limited" | QUERIES: ["3i Infotech Limited" official website] | CANDIDATES: [https://www.3i-infotech.com] | SELECTED: "https://www.3i-infotech.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:12.509Z] COMPANY: "3M India Limited" | QUERIES: ["3M India Limited" official website] | CANDIDATES: [https://www.3m.com/3M/en_IN] | SELECTED: "https://www.3m.com/3M/en_IN" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:17.816Z] COMPANY: "3P Land Holdings Limited" | QUERIES: ["3P Land Holdings Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:17.817Z] COMPANY: "5Paisa Capital Limited" | QUERIES: ["5Paisa Capital Limited" official website] | CANDIDATES: [https://www.5paisa.com] | SELECTED: "https://www.5paisa.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:18.053Z] COMPANY: "63 moons technologies limited" | QUERIES: ["63 moons technologies limited" official website] | CANDIDATES: [https://www.63moons.com] | SELECTED: "https://www.63moons.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:26.326Z] COMPANY: "A2Z Infra Engineering Limited" | QUERIES: ["A2Z Infra Engineering Limited" official website] | CANDIDATES: [https://www.a2zgroup.co.in] | SELECTED: "https://www.a2zgroup.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T08:14:26.996Z] COMPANY: "AAA Technologies Limited" | QUERIES: ["AAA Technologies Limited" official website] | CANDIDATES: [https://www.aaatech.in] | SELECTED: "https://www.aaatech.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
