Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"1","Unassigned","360 ONE Mutual Fund","https://mf.360.one","readymade-fallback","HIGH","NO","N/A","info@mf.360.one","[General Contact Email (Guessed Pattern)] info@mf.360.one; [Investor Grievance Email (Guessed Pattern)] contact@mf.360.one","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"2","Unassigned","ADITYA BIRLA SUN LIFE MF","https://mutualfund.adityabirlacapital.com","readymade-fallback","HIGH","NO","N/A","care.mutualfunds@adityabirlacapital.com","[General Contact Email] care.mutualfunds@adityabirlacapital.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 77. Lighthouse A11y: 30/100."
"3","Unassigned","ASK Mutual Fund","https://www.askmf.com","readymade-fallback","HIGH","NO","N/A","info@askmf.com","[General Contact Email (Guessed Pattern)] info@askmf.com; [Investor Grievance Email (Guessed Pattern)] contact@askmf.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"4","Unassigned","AXIS MF","https://www.axismf.com","readymade-fallback","HIGH","NO","N/A","customerservice@axismf.com","[General Contact Email] customerservice@axismf.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 14. Lighthouse A11y: 44/100."
"5","Unassigned","Abakkus Mutual Fund","https://www.abakkusamc.com","readymade-fallback","HIGH","NO","N/A","info@abakkusamc.com","[General Contact Email (Guessed Pattern)] info@abakkusamc.com; [Investor Grievance Email (Guessed Pattern)] contact@abakkusamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"6","Unassigned","AlphaGrep Mutual Fund","N/A","readymade-fallback","FAILED","NO","N/A","N/A","N/A","Not Found","No","No","None","No","Inaccessible","Orchavate Automated Tool v1.1","Inaccessible: Could not resolve valid website URL"
"7","Unassigned","Angel One Mutual Fund","https://www.angelonemf.com","readymade-fallback","HIGH","NO","N/A","info@angelonemf.com","[General Contact Email (Guessed Pattern)] info@angelonemf.com; [Investor Grievance Email (Guessed Pattern)] contact@angelonemf.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"8","Unassigned","BAJAJ FINSERV MUTUAL FUND","https://www.bajajfinservamc.com","readymade-fallback","HIGH","NO","N/A","info@bajajfinservamc.com","[General Contact Email (Guessed Pattern)] info@bajajfinservamc.com; [Investor Grievance Email (Guessed Pattern)] contact@bajajfinservamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"9","Unassigned","Bandhan Mutual Fund","https://bandhanmutual.com","readymade-fallback","HIGH","NO","N/A","info@bandhanmutual.com","[General Contact Email (Guessed Pattern)] info@bandhanmutual.com; [Investor Grievance Email (Guessed Pattern)] contact@bandhanmutual.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"10","Unassigned","Bank of India Mutual Fund","https://www.boiaxamc.com","readymade-fallback","HIGH","NO","N/A","info@boiaxamc.com","[General Contact Email (Guessed Pattern)] info@boiaxamc.com; [Investor Grievance Email (Guessed Pattern)] contact@boiaxamc.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
