[2026-08-02T06:55:26.511Z] COMPANY: "360 ONE Mutual Fund" | QUERIES: ["360 ONE Mutual Fund" official website] | CANDIDATES: [https://mf.360.one] | SELECTED: "https://mf.360.one" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:55:33.258Z] COMPANY: "ADITYA BIRLA SUN LIFE MF" | QUERIES: ["ADITYA BIRLA SUN LIFE MF" official website] | CANDIDATES: [https://mutualfund.adityabirlacapital.com] | SELECTED: "https://mutualfund.adityabirlacapital.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:55:55.555Z] COMPANY: "ASK Mutual Fund" | QUERIES: ["ASK Mutual Fund" official website] | CANDIDATES: [https://www.askmf.com] | SELECTED: "https://www.askmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:56:01.074Z] COMPANY: "AXIS MF" | QUERIES: ["AXIS MF" official website] | CANDIDATES: [https://www.axismf.com] | SELECTED: "https://www.axismf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:56:15.863Z] COMPANY: "Abakkus Mutual Fund" | QUERIES: ["Abakkus Mutual Fund" official website] | CANDIDATES: [https://www.abakkusamc.com] | SELECTED: "https://www.abakkusamc.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:56:24.638Z] COMPANY: "AlphaGrep Mutual Fund" | QUERIES: ["AlphaGrep Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:56:24.639Z] COMPANY: "Angel One Mutual Fund" | QUERIES: ["Angel One Mutual Fund" official website] | CANDIDATES: [https://www.angelonemf.com] | SELECTED: "https://www.angelonemf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:56:32.437Z] COMPANY: "BAJAJ FINSERV MUTUAL FUND" | QUERIES: ["BAJAJ FINSERV MUTUAL FUND" official website] | CANDIDATES: [https://www.bajajfinservamc.com] | SELECTED: "https://www.bajajfinservamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:56:41.706Z] COMPANY: "Bandhan Mutual Fund" | QUERIES: ["Bandhan Mutual Fund" official website] | CANDIDATES: [https://bandhanmutual.com] | SELECTED: "https://bandhanmutual.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:56:56.294Z] COMPANY: "Bank of India Mutual Fund" | QUERIES: ["Bank of India Mutual Fund" official website] | CANDIDATES: [https://www.boiaxamc.com] | SELECTED: "https://www.boiaxamc.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:57:05.421Z] COMPANY: "Baroda BNP Paribas Mutual Fund" | QUERIES: ["Baroda BNP Paribas Mutual Fund" official website] | CANDIDATES: [https://www.barodabnpparibasmf.in] | SELECTED: "https://www.barodabnpparibasmf.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:57:20.269Z] COMPANY: "CANARA ROBECO MF" | QUERIES: ["CANARA ROBECO MF" official website] | CANDIDATES: [https://www.canararobeco.com] | SELECTED: "https://www.canararobeco.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:57:36.103Z] COMPANY: "CRB MF" | QUERIES: ["CRB MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:57:36.104Z] COMPANY: "Capitalmind Mutual Fund" | QUERIES: ["Capitalmind Mutual Fund" official website] | CANDIDATES: [https://capitalmindmf.com] | SELECTED: "https://capitalmindmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:57:51.283Z] COMPANY: "Carnelian Asset Management and Advisors Private Limited" | QUERIES: ["Carnelian Asset Management and Advisors Private Limited" official website] | CANDIDATES: [https://www.carnelianamc.com] | SELECTED: "https://www.carnelianamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:57:57.526Z] COMPANY: "Choice Mutual Fund" | QUERIES: ["Choice Mutual Fund" official website] | CANDIDATES: [https://mf.choiceindia.com] | SELECTED: "https://mf.choiceindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:58:07.181Z] COMPANY: "DSP MF" | QUERIES: ["DSP MF" official website] | CANDIDATES: [https://www.dspim.com] | SELECTED: "https://www.dspim.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:58:24.643Z] COMPANY: "EDELWEISS MF" | QUERIES: ["EDELWEISS MF" official website] | CANDIDATES: [https://www.edelweissmf.com] | SELECTED: "https://www.edelweissmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:58:24.893Z] COMPANY: "FRANKLIN TEMPLETON MF" | QUERIES: ["FRANKLIN TEMPLETON MF" official website] | CANDIDATES: [https://www.franklintempletonindia.com] | SELECTED: "https://www.franklintempletonindia.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:58:38.723Z] COMPANY: "Groww Mutual Fund" | QUERIES: ["Groww Mutual Fund" official website] | CANDIDATES: [https://groww.in/mutual-funds] | SELECTED: "https://groww.in/mutual-funds" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:58:59.397Z] COMPANY: "HDFC MF" | QUERIES: ["HDFC MF" official website] | CANDIDATES: [https://www.hdfcfund.com] | SELECTED: "https://www.hdfcfund.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:58:59.687Z] COMPANY: "HSBC MF" | QUERIES: ["HSBC MF" official website] | CANDIDATES: [https://www.assetmanagement.hsbc.co.in] | SELECTED: "https://www.assetmanagement.hsbc.co.in" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:59:11.691Z] COMPANY: "Helios Mutual Fund" | QUERIES: ["Helios Mutual Fund" official website] | CANDIDATES: [https://www.helioscapital.in] | SELECTED: "https://www.helioscapital.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T06:59:33.082Z] COMPANY: "ICICI PRUDENTIAL MF" | QUERIES: ["ICICI PRUDENTIAL MF" official website] | CANDIDATES: [https://www.icicipruamc.com] | SELECTED: "https://www.icicipruamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:00:21.629Z] COMPANY: "IDBI MUTUAL FUND" | QUERIES: ["IDBI MUTUAL FUND" official website] | CANDIDATES: [https://www.idbimutual.co.in] | SELECTED: "https://www.idbimutual.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:00:48.205Z] COMPANY: "IIFCL MF (IDF)" | QUERIES: ["IIFCL MF (IDF)" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:00:48.206Z] COMPANY: "IL&FS IDF MF" | QUERIES: ["IL&FS IDF MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:00:48.206Z] COMPANY: "ITI Mutual Fund" | QUERIES: ["ITI Mutual Fund" official website] | CANDIDATES: [https://www.itimf.com] | SELECTED: "https://www.itimf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:00:59.842Z] COMPANY: "Invesco Mutual Fund" | QUERIES: ["Invesco Mutual Fund" official website] | CANDIDATES: [https://www.invescomutualfund.com] | SELECTED: "https://www.invescomutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:01:09.194Z] COMPANY: "JM FINANCIAL MF" | QUERIES: ["JM FINANCIAL MF" official website] | CANDIDATES: [https://www.jmfinancialmf.com] | SELECTED: "https://www.jmfinancialmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:01:26.378Z] COMPANY: "Jio BlackRock Mutual Fund" | QUERIES: ["Jio BlackRock Mutual Fund" official website] | CANDIDATES: [https://www.jioblackrockamc.com] | SELECTED: "https://www.jioblackrockamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:01:36.089Z] COMPANY: "Kotak Mutual Fund" | QUERIES: ["Kotak Mutual Fund" official website] | CANDIDATES: [https://www.kotakmf.com] | SELECTED: "https://www.kotakmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:01:37.525Z] COMPANY: "LIC MF" | QUERIES: ["LIC MF" official website] | CANDIDATES: [https://www.licmf.com] | SELECTED: "https://www.licmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:01:48.729Z] COMPANY: "MIRAE ASSET MF" | QUERIES: ["MIRAE ASSET MF" official website] | CANDIDATES: [https://www.miraeassetmf.co.in] | SELECTED: "https://www.miraeassetmf.co.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:02:03.290Z] COMPANY: "MOTILAL OSWAL MF" | QUERIES: ["MOTILAL OSWAL MF" official website] | CANDIDATES: [https://www.motilaloswalmf.com] | SELECTED: "https://www.motilaloswalmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:02:13.835Z] COMPANY: "Mahindra Manulife Mutual Fund" | QUERIES: ["Mahindra Manulife Mutual Fund" official website] | CANDIDATES: [https://www.mahindramanulife.com] | SELECTED: "https://www.mahindramanulife.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:02:22.713Z] COMPANY: "Monarch Networth Capital Limited" | QUERIES: ["Monarch Networth Capital Limited" official website] | CANDIDATES: [https://www.mnclgroup.com] | SELECTED: "https://www.mnclgroup.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:02:43.591Z] COMPANY: "N J Mutual Fund" | QUERIES: ["N J Mutual Fund" official website] | CANDIDATES: [https://www.njmutualfund.com] | SELECTED: "https://www.njmutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:02:56.377Z] COMPANY: "NAVI MUTUAL FUND" | QUERIES: ["NAVI MUTUAL FUND" official website] | CANDIDATES: [https://www.navimutualfund.com] | SELECTED: "https://www.navimutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:03:07.183Z] COMPANY: "Nippon India Mutual Fund" | QUERIES: ["Nippon India Mutual Fund" official website] | CANDIDATES: [https://mf.nipponindiaim.com] | SELECTED: "https://mf.nipponindiaim.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:03:21.548Z] COMPANY: "Nuvama Mutual Fund" | QUERIES: ["Nuvama Mutual Fund" official website] | CANDIDATES: [https://www.nuvamaassetmanagement.com] | SELECTED: "https://www.nuvamaassetmanagement.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:03:21.665Z] COMPANY: "Old Bridge Mutual Fund" | QUERIES: ["Old Bridge Mutual Fund" official website] | CANDIDATES: [https://www.oldbridgemf.com] | SELECTED: "https://www.oldbridgemf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:03:34.444Z] COMPANY: "PGIM INDIA MUTUAL FUND" | QUERIES: ["PGIM INDIA MUTUAL FUND" official website] | CANDIDATES: [https://www.pgimindiamf.com] | SELECTED: "https://www.pgimindiamf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:03:40.762Z] COMPANY: "PPFAS MF" | QUERIES: ["PPFAS MF" official website] | CANDIDATES: [https://amc.ppfas.com] | SELECTED: "https://amc.ppfas.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:03:51.404Z] COMPANY: "QUANTUM MF" | QUERIES: ["QUANTUM MF" official website] | CANDIDATES: [https://www.quantumamc.com] | SELECTED: "https://www.quantumamc.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:04:04.675Z] COMPANY: "Quant Mutual Fund" | QUERIES: ["Quant Mutual Fund" official website] | CANDIDATES: [https://www.quantmutual.com] | SELECTED: "https://www.quantmutual.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:04:13.511Z] COMPANY: "SAMCO MUTUAL FUND" | QUERIES: ["SAMCO MUTUAL FUND" official website] | CANDIDATES: [https://www.samco.mf.in] | SELECTED: "https://www.samco.mf.in" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:04:20.035Z] COMPANY: "SBI MF" | QUERIES: ["SBI MF" official website] | CANDIDATES: [https://www.sbimf.com] | SELECTED: "https://www.sbimf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:04:46.375Z] COMPANY: "SHRIRAM MF" | QUERIES: ["SHRIRAM MF" official website] | CANDIDATES: [https://www.shriramamc.com] | SELECTED: "https://www.shriramamc.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:04:53.472Z] COMPANY: "SUNDARAM MF" | QUERIES: ["SUNDARAM MF" official website] | CANDIDATES: [https://www.sundarammutual.com] | SELECTED: "https://www.sundarammutual.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:05:07.191Z] COMPANY: "TAURUS MF" | QUERIES: ["TAURUS MF" official website] | CANDIDATES: [https://www.taurusmutualfund.com] | SELECTED: "https://www.taurusmutualfund.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:05:17.936Z] COMPANY: "TRUST MUTUAL FUND" | QUERIES: ["TRUST MUTUAL FUND" official website] | CANDIDATES: [https://www.trustmf.com] | SELECTED: "https://www.trustmf.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:05:27.788Z] COMPANY: "Tata Mutual Fund" | QUERIES: ["Tata Mutual Fund" official website] | CANDIDATES: [https://www.tatamutualfund.com] | SELECTED: "https://www.tatamutualfund.com" | CONFIDENCE: HIGH | TIME: 0ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:05:44.704Z] COMPANY: "The Wealth Company Mutual Fund" | QUERIES: ["The Wealth Company Mutual Fund" official website] | CANDIDATES: [https://www.thewealthcompany.in] | SELECTED: "https://www.thewealthcompany.in" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
[2026-08-02T07:05:49.963Z] COMPANY: "UTI  MF" | QUERIES: ["UTI  MF" official website] | CANDIDATES: [https://www.utimf.com] | SELECTED: "https://www.utimf.com" | CONFIDENCE: HIGH | TIME: 1ms | REASON: Resolved via readymade-fallback
