[2026-08-02T11:04:48.635Z] COMPANY: "360 ONE Mutual Fund" | QUERIES: ["360 ONE Mutual Fund" official website] | CANDIDATES: [https://www.360.one/asset/mutual-funds/who-we-are/] | SELECTED: "https://www.360.one/asset/mutual-funds/who-we-are/" | CONFIDENCE: HIGH | TIME: 1570ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.160Z] COMPANY: "ADITYA BIRLA SUN LIFE MF" | QUERIES: ["ADITYA BIRLA SUN LIFE MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 87ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.238Z] COMPANY: "ASK Mutual Fund" | QUERIES: ["ASK Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 77ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.318Z] COMPANY: "AXIS MF" | QUERIES: ["AXIS MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 77ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.410Z] COMPANY: "Abakkus Mutual Fund" | QUERIES: ["Abakkus Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 91ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.503Z] COMPANY: "AlphaGrep Mutual Fund" | QUERIES: ["AlphaGrep Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 91ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.593Z] COMPANY: "Angel One Mutual Fund" | QUERIES: ["Angel One Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 88ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.668Z] COMPANY: "BAJAJ FINSERV MUTUAL FUND" | QUERIES: ["BAJAJ FINSERV MUTUAL FUND" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 73ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.750Z] COMPANY: "Bandhan Mutual Fund" | QUERIES: ["Bandhan Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 82ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.830Z] COMPANY: "Bank of India Mutual Fund" | QUERIES: ["Bank of India Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 79ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.912Z] COMPANY: "Baroda BNP Paribas Mutual Fund" | QUERIES: ["Baroda BNP Paribas Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 81ms | REASON: Resolved via self-search
[2026-08-02T11:04:49.996Z] COMPANY: "CANARA ROBECO MF" | QUERIES: ["CANARA ROBECO MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 83ms | REASON: Resolved via self-search
[2026-08-02T11:04:50.082Z] COMPANY: "CRB MF" | QUERIES: ["CRB MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 85ms | REASON: Resolved via self-search
[2026-08-02T11:04:50.167Z] COMPANY: "Capitalmind Mutual Fund" | QUERIES: ["Capitalmind Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 84ms | REASON: Resolved via self-search
[2026-08-02T11:04:50.246Z] COMPANY: "Carnelian Asset Management and Advisors Private Limited" | QUERIES: ["Carnelian Asset Management and Advisors Private Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 78ms | REASON: Resolved via self-search
[2026-08-02T11:04:50.330Z] COMPANY: "Choice Mutual Fund" | QUERIES: ["Choice Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 83ms | REASON: Resolved via self-search
[2026-08-02T11:04:50.409Z] COMPANY: "DSP MF" | QUERIES: ["DSP MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 78ms | REASON: Resolved via self-search
[2026-08-02T11:04:50.985Z] COMPANY: "EDELWEISS MF" | QUERIES: ["EDELWEISS MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 575ms | REASON: Resolved via self-search
[2026-08-02T11:04:52.561Z] COMPANY: "FRANKLIN TEMPLETON MF" | QUERIES: ["FRANKLIN TEMPLETON MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1575ms | REASON: Resolved via self-search
[2026-08-02T11:04:54.134Z] COMPANY: "Groww Mutual Fund" | QUERIES: ["Groww Mutual Fund" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1572ms | REASON: Resolved via self-search
[2026-08-02T11:04:55.709Z] COMPANY: "HDFC MF" | QUERIES: ["HDFC MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1574ms | REASON: Resolved via self-search
[2026-08-02T11:04:57.288Z] COMPANY: "HSBC MF" | QUERIES: ["HSBC MF" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1578ms | REASON: Resolved via self-search
