Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"1","Unassigned","Reliance Industries Limited","https://www.ril.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (akamai)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (akamai)"
"2","Unassigned","HDFC Bank Limited","https://www.hdfcbank.com","readymade-fallback","HIGH","NO","N/A","info@hdfcbank.com","[General Contact Email (Guessed Pattern)] info@hdfcbank.com; [Investor Grievance Email (Guessed Pattern)] contact@hdfcbank.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 7. Lighthouse A11y: 72/100."
"3","Unassigned","ICICI Bank Limited","https://www.icicibank.com","readymade-fallback","HIGH","NO","N/A","marketshelpdesk@icici.bank.in","[General Contact Email] marketshelpdesk@icici.bank.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"4","Unassigned","State Bank of India","https://sbi.co.in","readymade-fallback","HIGH","NO","N/A","epg.cms@sbi.co.in","[General Contact Email] epg.cms@sbi.co.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"5","Unassigned","Axis Bank Limited","https://www.axisbank.com","readymade-fallback","HIGH","NO","N/A","PNO@axis.bank.in","[Investor Grievance / Compliance Officer Email] PNO@axis.bank.in; [General Contact Email] PNO@axis.bank.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 32. Lighthouse A11y: 30/100."
"6","Unassigned","Kotak Mahindra Bank Limited","https://www.kotak.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"7","Unassigned","Bank of Baroda","https://www.bankofbaroda.in","readymade-fallback","HIGH","NO","N/A","info@bankofbaroda.in","[General Contact Email (Guessed Pattern)] info@bankofbaroda.in; [Investor Grievance Email (Guessed Pattern)] contact@bankofbaroda.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 10. Lighthouse A11y: 60/100."
"8","Unassigned","Punjab National Bank","https://www.pnbindia.in","readymade-fallback","HIGH","NO","N/A","info@pnbindia.in","[General Contact Email (Guessed Pattern)] info@pnbindia.in; [Investor Grievance Email (Guessed Pattern)] contact@pnbindia.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 3. Lighthouse A11y: 88/100."
"9","Unassigned","Canara Bank","https://canarabank.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"10","Unassigned","Union Bank of India","https://www.unionbankofindia.co.in","readymade-fallback","HIGH","NO","N/A","info@unionbankofindia.co.in","[General Contact Email (Guessed Pattern)] info@unionbankofindia.co.in; [Investor Grievance Email (Guessed Pattern)] contact@unionbankofindia.co.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
