[2026-08-06T21:41:25.862Z] COMPANY: "Reliance Industries Limited" | QUERIES: ["Reliance Industries Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 220ms | REASON: Resolved via self-search
[2026-08-06T21:41:25.929Z] COMPANY: "HDFC Bank Limited" | QUERIES: ["HDFC Bank Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 65ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.002Z] COMPANY: "ICICI Bank Limited" | QUERIES: ["ICICI Bank Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 72ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.074Z] COMPANY: "State Bank of India" | QUERIES: ["State Bank of India" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 71ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.139Z] COMPANY: "Axis Bank Limited" | QUERIES: ["Axis Bank Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 64ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.214Z] COMPANY: "Kotak Mahindra Bank Limited" | QUERIES: ["Kotak Mahindra Bank Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 74ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.283Z] COMPANY: "Bank of Baroda" | QUERIES: ["Bank of Baroda" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 68ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.352Z] COMPANY: "Punjab National Bank" | QUERIES: ["Punjab National Bank" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 67ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.420Z] COMPANY: "Canara Bank" | QUERIES: ["Canara Bank" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 67ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.487Z] COMPANY: "Union Bank of India" | QUERIES: ["Union Bank of India" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 66ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.552Z] COMPANY: "Federal Bank Limited" | QUERIES: ["Federal Bank Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 63ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.613Z] COMPANY: "IndusInd Bank Limited" | QUERIES: ["IndusInd Bank Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 60ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.680Z] COMPANY: "Bajaj Finance Limited" | QUERIES: ["Bajaj Finance Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 66ms | REASON: Resolved via self-search
[2026-08-06T21:41:26.742Z] COMPANY: "Bajaj Finserv Limited" | QUERIES: ["Bajaj Finserv Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 61ms | REASON: Resolved via self-search
[2026-08-06T21:41:27.313Z] COMPANY: "HDFC Life Insurance Company Limited" | QUERIES: ["HDFC Life Insurance Company Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 570ms | REASON: Resolved via self-search
[2026-08-06T21:41:28.875Z] COMPANY: "SBI Life Insurance Company Limited" | QUERIES: ["SBI Life Insurance Company Limited" official website] | CANDIDATES: [] | SELECTED: "" | CONFIDENCE: FAILED | TIME: 1561ms | REASON: Resolved via self-search
