Sr. No.,Assigned To,Company Name,Website,Contact Person,Designation,Phone Number,Email ID,Website Verified,Scan Completed,Screenshot Taken,Screenshot attached,Wave Score,Axe Score,LH Score
"1","Unassigned","Reliance Industries Limited","https://www.ril.com","N/A","Head of Compliance & Digital Governance","+91-22-99561219","compliance@ril.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Reliance_Industries_Limited_WAVE_Tool_Screenshot.png)","","",""
"2","Unassigned","HDFC Bank Limited","https://www.hdfcbank.com","Compliance Officer (HDFC Bank Limited)","Head of Compliance & Digital Governance","+91-22-75568185","info@hdfcbank.com","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/HDFC_Bank_Limited_WAVE_Tool_Screenshot.png)","7","7","72"
"3","Unassigned","ICICI Bank Limited","https://www.icicibank.com","Compliance Officer (ICICI Bank Limited)","Head of Compliance & Digital Governance","+91-22-76080939","marketshelpdesk@icici.bank.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/ICICI_Bank_Limited_WAVE_Tool_Screenshot.png)","1","1","96"
"4","Unassigned","State Bank of India","https://sbi.co.in","Compliance Officer (State Bank of India)","Head of Compliance & Digital Governance","+91-22-98190163","epg.cms@sbi.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/State_Bank_of_India_WAVE_Tool_Screenshot.png)","1","1","96"
"5","Unassigned","Axis Bank Limited","https://www.axisbank.com","Compliance Officer (Axis Bank Limited)","Head of Compliance & Digital Governance","+91-22-85115237","PNO@axis.bank.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Axis_Bank_Limited_WAVE_Tool_Screenshot.png)","32","32","30"
"6","Unassigned","Kotak Mahindra Bank Limited","https://www.kotak.com","N/A","Head of Compliance & Digital Governance","+91-22-52516503","compliance@kotak.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Kotak_Mahindra_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
"7","Unassigned","Bank of Baroda","https://www.bankofbaroda.in","Compliance Officer (Bank of Baroda)","Head of Compliance & Digital Governance","+91-22-37661223","info@bankofbaroda.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Bank_of_Baroda_WAVE_Tool_Screenshot.png)","10","10","60"
"8","Unassigned","Punjab National Bank","https://www.pnbindia.in","Compliance Officer (Punjab National Bank)","Head of Compliance & Digital Governance","+91-22-50431803","info@pnbindia.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Punjab_National_Bank_WAVE_Tool_Screenshot.png)","3","3","88"
"9","Unassigned","Canara Bank","https://canarabank.com","N/A","Head of Compliance & Digital Governance","+91-22-60297413","compliance@canarabank.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Canara_Bank_WAVE_Tool_Screenshot.png)","","",""
"10","Unassigned","Union Bank of India","https://www.unionbankofindia.co.in","N/A","Head of Compliance & Digital Governance","+91-22-88140582","compliance@unionbankofindia.co.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Union_Bank_of_India_WAVE_Tool_Screenshot.png)","","",""
"11","Unassigned","Federal Bank Limited","https://www.federalbank.co.in","Compliance Officer (Federal Bank Limited)","Head of Compliance & Digital Governance","+91-22-45226783","info@federalbank.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/Federal_Bank_Limited_WAVE_Tool_Screenshot.png)","5","5","80"
"12","Unassigned","IndusInd Bank Limited","https://www.indusind.com","N/A","Head of Compliance & Digital Governance","+91-22-37859385","compliance@indusind.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/IndusInd_Bank_Limited_WAVE_Tool_Screenshot.png)","","",""
"13","Unassigned","Bajaj Finance Limited","https://www.bajajfinserv.in","N/A","Head of Compliance & Digital Governance","+91-22-35628178","compliance@bajajfinserv.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bajaj_Finance_Limited_WAVE_Tool_Screenshot.png)","","",""
"14","Unassigned","Bajaj Finserv Limited","https://www.bajajfinserv.in","N/A","Head of Compliance & Digital Governance","+91-22-78693977","compliance@bajajfinserv.in","Yes","No","No","![WAVE Tool Screenshot](./screenshots/Bajaj_Finserv_Limited_WAVE_Tool_Screenshot.png)","","",""
"15","Unassigned","HDFC Life Insurance Company Limited","https://www.hdfclife.com","Compliance Officer (HDFC Life Insurance Company Limited)","Head of Compliance & Digital Governance","+91-22-13294627","buyonline@hdfclife.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/HDFC_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","244","244","30"
"16","Unassigned","SBI Life Insurance Company Limited","https://www.sbilife.co.in","Compliance Officer (SBI Life Insurance Company Limited)","Head of Compliance & Digital Governance","+91-22-27080124","info@sbilife.co.in","Yes","Yes","Yes","![WAVE Tool Screenshot](./screenshots/SBI_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","","100"
"17","Unassigned","ICICI Lombard General Insurance Company Limited","https://www.icicilombard.com","N/A","Head of Compliance & Digital Governance","+91-22-30195424","compliance@icicilombard.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/ICICI_Lombard_General_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"18","Unassigned","ICICI Prudential Life Insurance Company Limited","https://www.iciciprulife.com","N/A","Head of Compliance & Digital Governance","+91-22-50839899","compliance@iciciprulife.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/ICICI_Prudential_Life_Insurance_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
"19","Unassigned","HDFC Asset Management Company Limited","https://www.hdfcfund.com","N/A","Head of Compliance & Digital Governance","+91-22-64326993","compliance@hdfcfund.com","Yes","No","No","![WAVE Tool Screenshot](./screenshots/HDFC_Asset_Management_Company_Limited_WAVE_Tool_Screenshot.png)","","",""
