Company Name,Website,AIM Score,Errors,Contrast Errors,Alerts
"aegislogistics.com","https://aegislogistics.com","4.3","3","27","11"
"bombaydyeing.com","https://bombaydyeing.com","4.7","15","4","31"
"asianhotelsnorth.com","https://asianhotelsnorth.com","6.3","0","10","74"
"atulsongaday.me","https://atulsongaday.me","1.1","4","6687","104"
"bajajelectricals.com","https://bajajelectricals.com","4","5","48","35"
"bajajhindusthan.com","https://bajajhindusthan.com","2.9","19","41","29"
"bajajhousingfinance.in","https://bajajhousingfinance.in","2","41","132","133"
"bemlindia.in","https://bemlindia.in","7","8","4","205"
"bhansaliabs.com","https://bhansaliabs.com","7.6","4","1","14"
"birlacable.com","https://birlacable.com","5.6","4","13","28"
"bluestarindia.com","https://bluestarindia.com","2","26","65","27"
"bpl.org","https://bpl.org","6.5","7","10","87"
"orientalaromatics.com","https://orientalaromatics.com","2.9","53","0","31"
"centuryextrusions.com","https://centuryextrusions.com","2.5","26","64","291"
"chambalfertilisers.com","https://chambalfertilisers.com","8.4","4","0","17"
"exideindustries.com","https://exideindustries.com","2.5","46","57","42"
"cipla.com","https://cipla.com","1.4","37","225","31"
"crisil.com","https://crisil.com","2.6","77","7","99"
"arvind.com","https://arvind.com","2.1","0","115","66"
"bhel.com","https://bhel.com","9.2","0","0","112"
"onlinesbi.sbi","https://onlinesbi.sbi","8.8","2","0","37"
"sail.co.in","https://sail.co.in","4","37","1","334"
"dhampursugar.com","https://dhampursugar.com","3.6","28","19","15"
"drreddys.com","https://drreddys.com","8.6","3","1","103"
"eidparry.com","https://eidparry.com","2.6","33","23","95"
"pg.com","https://pg.com","6.1","0","16","46"
"eplglobal.com","https://eplglobal.com","4.1","18","33","115"
"johncockerillindia.com","https://johncockerillindia.com","2.3","3","90","24"
"uflexltd.com","https://uflexltd.com","5","2","30","133"
"fosecoindia.com","https://fosecoindia.com","10","0","0","2"
"goldentobacco.in","https://goldentobacco.in","8.9","1","0","6"
"ganeshbenzoplast.com","https://ganeshbenzoplast.com","4.1","45","1","9"
"metrogloballimited.com","https://metrogloballimited.com","7.2","6","6","15"
"nerolacbd.com","https://nerolacbd.com","7.6","1","0","1"
"gtnf.org","https://gtnf.org","6.7","8","3","1"
"hclinfosystems.in","https://hclinfosystems.in","7.6","1","0","2"
"hdfcbank.com","https://hdfcbank.com","9.1","1","0","1"
"heromotocorp.com","https://heromotocorp.com","2.8","85","52","507"
"hfcl.com","https://hfcl.com","8.2","0","7","38"
"himadri.com","https://himadri.com","5.5","19","9","43"
"agigreenpac.com","https://agigreenpac.com","8.9","2","2","6"
"hzlindia.com","https://hzlindia.com","2.7","4","101","75"
"hlv.de","https://hlv.de","4.5","9","31","72"
"igpetro.com","https://igpetro.com","5.2","0","24","12"
"indiaglycols.com","https://indiaglycols.com","3.4","12","45","38"
"margotelena.com","https://margotelena.com","7.6","5","4","13"
"ionexchangeglobal.com","https://ionexchangeglobal.com","4.3","16","32","40"
"jindalpoly.com","https://jindalpoly.com","7.1","8","3","9"
"jswsteel.in","https://jswsteel.in","5.4","13","12","22"
"kineticengineering.com","https://kineticengineering.com","6.6","0","11","20"
"kirloskarferrous.com","https://kirloskarferrous.com","3.4","17","40","154"
"ksbw.com","https://ksbw.com","5.5","11","17","35"
"lebensmittelwarnung.de","https://lebensmittelwarnung.de","9","2","0","15"
"lichousing.com","https://lichousing.com","2.8","135","16","144"
"lupinepet.com","https://lupinepet.com","8.9","1","2","23"
"lykalabs.com","https://lykalabs.com","5.8","1","26","10"
"hybridfinance.co.in","https://hybridfinance.co.in","9.3","1","0","4"
"mafatlals.com","https://mafatlals.com","2.6","22","71","84"
"majesticautos.com","https://majesticautos.com","5.8","5","12","36"
"manalipetro.com","https://manalipetro.com","5.8","4","16","10"
"lordschloro.com","https://lordschloro.com","5.8","2","18","11"
"mrfood.com","https://mrfood.com","5.2","21","10","35"
"vedantalimited.com","https://vedantalimited.com","3.3","7","54","63"
"niit.com","https://niit.com","3.7","24","25","44"
"oriental-hotels.com","https://oriental-hotels.com","3.3","31","38","55"
"oswalagromills.com","https://oswalagromills.com","8.6","2","1","9"
"panyamcements.com","https://panyamcements.com","5.2","2","17","1"
"raymond.in","https://raymond.in","2.3","6","71","103"
"pidilite.com","https://pidilite.com","3.3","19","51","71"
"pixtrans.com","https://pixtrans.com","1.8","14","119","51"
"surya.co.in","https://surya.co.in","9.4","1","0","45"
"primesec.com","https://primesec.com","6.3","13","9","77"
"prismjohnson.in","https://prismjohnson.in","2.3","6","65","8"
"rainbowshops.com","https://rainbowshops.com","8.6","0","2","81"
"amjlandscaping.com","https://amjlandscaping.com","2.4","7","53","62"
"puncom.com","https://puncom.com","7.2","14","0","15"
"rswm.in","https://rswm.in","2.7","7","49","71"
"ramanewsprint.com","https://ramanewsprint.com","3.1","40","20","14"
"rapicutcarbides.com","https://rapicutcarbides.com","5.6","17","2","123"
"samtel.co","https://samtel.co","6.5","0","22","7"
